gap_id,change_type,field,old_value,new_value,changed_by,changed_at
c6178ddb-090c-49bc-95f2-fe51be138fee,create,,,,דניאל.כהן@kalag.test,2026-08-05 17:01:00
c6178ddb-090c-49bc-95f2-fe51be138fee,update,priority,בינוני,גבוה,דניאל.כהן@kalag.test,2026-08-10 04:01:00
c6178ddb-090c-49bc-95f2-fe51be138fee,update,note,,השביל ליד מגורי בנים,עידו.פרץ@kalag.test,2026-09-12 05:01:00
f37eb2ca-c55d-4104-af99-1618c0b0284d,create,,,,טל.רוזן@kalag.test,2026-05-27 14:57:00
f37eb2ca-c55d-4104-af99-1618c0b0284d,update,priority,נמוך,בינוני,מאיה.לוי@kalag.test,2026-06-09 17:57:00
f37eb2ca-c55d-4104-af99-1618c0b0284d,update,opened_by_phone,,055-9603082,דניאל.כהן@kalag.test,2026-09-12 18:40:00
0a761a78-95eb-4570-9192-74707996f438,create,,,,טל.רוזן@kalag.test,2026-08-13 19:48:00
0a761a78-95eb-4570-9192-74707996f438,update,note,,חומרים בדרך,נועה.אבידן@kalag.test,2026-08-24 00:48:00
0a761a78-95eb-4570-9192-74707996f438,update,status,טרם הועלה,בטיפול,נועה.אבידן@kalag.test,2026-08-24 21:48:00
0a761a78-95eb-4570-9192-74707996f438,update,priority,גבוה,בינוני,טל.רוזן@kalag.test,2026-09-08 07:48:00
d8eb2cbc-34e4-457f-aae0-1082b9280173,create,,,,דניאל.כהן@kalag.test,2026-06-24 20:18:00
d8eb2cbc-34e4-457f-aae0-1082b9280173,update,status,טרם הועלה,בטיפול,עידו.פרץ@kalag.test,2026-07-07 02:18:00
80992ad0-441f-4950-8120-7f170e2152e4,create,,,,טל.רוזן@kalag.test,2026-05-04 10:39:00
80992ad0-441f-4950-8120-7f170e2152e4,update,priority,בינוני,נמוך,יובל.שגיא@kalag.test,2026-05-11 16:39:00
d4aaf056-29c5-4631-b0d5-7f89d7636d77,create,,,,עידו.פרץ@kalag.test,2026-08-24 18:06:00
d4aaf056-29c5-4631-b0d5-7f89d7636d77,update,status,טרם הועלה,בטיפול,דניאל.כהן@kalag.test,2026-09-01 23:06:00
227b7c95-07e0-49b4-975f-9a5bc4196d6d,create,,,,עידו.פרץ@kalag.test,2026-03-17 07:36:00
227b7c95-07e0-49b4-975f-9a5bc4196d6d,update,priority,גבוה,בינוני,עידו.פרץ@kalag.test,2026-07-29 10:36:00
c68b66d5-ea9c-4952-82fd-6f00b126b8b9,create,,,,נועה.אבידן@kalag.test,2026-07-01 06:22:00
c68b66d5-ea9c-4952-82fd-6f00b126b8b9,update,priority,בינוני,גבוה,עידו.פרץ@kalag.test,2026-09-02 15:22:00
eb988e31-5d87-4f3b-89e8-8eaeb33f61e6,create,,,,מאיה.לוי@kalag.test,2026-03-22 08:18:00
eb988e31-5d87-4f3b-89e8-8eaeb33f61e6,update,status,טרם הועלה,בטיפול,נועה.אבידן@kalag.test,2026-04-03 09:18:00
eb988e31-5d87-4f3b-89e8-8eaeb33f61e6,update,status,בטיפול,טופל,טל.רוזן@kalag.test,2026-04-06 09:18:00
3cd9aab6-3a41-44c0-8239-1a14c90bb5b0,create,,,,דניאל.כהן@kalag.test,2026-07-15 17:35:00
8a4d6e13-9c11-4654-b377-6d8e8e6d8c7b,create,,,,נועה.אבידן@kalag.test,2026-04-29 11:06:00
12f2f017-1faa-4540-a341-07851fd8ccac,create,,,,עידו.פרץ@kalag.test,2026-07-21 16:01:00
12f2f017-1faa-4540-a341-07851fd8ccac,update,priority,נמוך,גבוה,יובל.שגיא@kalag.test,2026-08-18 00:01:00
12f2f017-1faa-4540-a341-07851fd8ccac,update,opened_by_name,,אבי כהן,טל.רוזן@kalag.test,2026-08-29 04:01:00
12f2f017-1faa-4540-a341-07851fd8ccac,update,note,,צריך להזמין קבלן חיצוני,נועה.אבידן@kalag.test,2026-08-30 19:01:00
920c3ce0-6942-43e9-8297-2e51c6be3494,create,,,,עידו.פרץ@kalag.test,2026-04-03 16:02:00
2216e0c3-dba4-4ce8-9b6a-d59915ebf2c7,create,,,,עידו.פרץ@kalag.test,2026-03-19 14:47:00
