id,company,gap,location,status,priority,opened_at,opened_by_name,opened_by_phone,building,room_number,note
90a76178-1e62-41fa-a84f-cafece203928,צין,חלון בלי רשת יתושים,דשא,טופל,נמוך,2026-04-22,רחל דהן,052-8792174,,,הדשא מול הבנות
a1b6aadc-4724-4c76-ac90-14d664e3e118,תמר,תאורת חוץ כבויה,מתחם קמנים,טופל,בינוני,2026-06-03,עומר כהן,055-1003390,,,מחכים לאישור תקציב
d1770392-2ef4-40f5-95ea-325f688ca224,רמון,משטח בטון סדוק,מתחם קמנים,בטיפול,בינוני,2026-07-24,יוסי בן דוד,058-4681453,,,
df5ba32a-b823-470c-a966-30be1420b007,בשור,גדר פרוצה,מגורי בנים,בטיפול,בינוני,2026-04-21,בן מזרחי,050-0330766,אגף א,311,דווח כבר פעם קודמת
d4605297-59c7-4d7b-b551-5e68c9ddb165,בשור,אין מים חמים,מגורי בנות,בטיפול,גבוה,2026-05-31,,,מבנה 2,שירותים,מחכים לאישור תקציב
67242e30-ba5e-4768-88eb-5d229c11c64c,תמר,פח אשפה חסר,כיתות,בטיפול,בינוני,2026-03-22,,,מבנה 2,404,
0953e837-3e8d-432e-8c68-0f10e7e5b3d7,תמר,חלון סדוק,מגורי בנות,טופל,נמוך,2026-07-05,דוד דהן,052-6991023,מבנה 1,310,
1fb32ae5-54ce-4ab5-b722-707699ede09a,צין,חוט חשמל חשוף,מגורי בנים,בטיפול,גבוה,2026-07-21,אריאל בן דוד,052-9792622,מבנה 2,224,חומרים בדרך
c90b5134-146b-4123-a3c2-fde320202617,תמר,רשת צל קרועה,פינת ישיבה,טופל,נמוך,2026-03-21,טל לוי,050-1084364,,,מחכים לאישור תקציב
ec824aca-ad80-4129-afc8-e38b3b7dd211,צין,מיטה שבורה,פינת פריסה,טרם הועלה,בינוני,2026-05-02,,,,,חומרים בדרך
8e6cf80e-249e-4458-9f38-06f1875f5a03,פארן,מדרגה רופפת,ספריית קמנים,בטיפול,בינוני,2026-04-08,איתי כהן,050-4673002,,,חומרים בדרך
844dab26-2e44-454a-b805-c70f7b93061d,רמון,ברזייה לא עובדת,מתחם קמנים,טרם הועלה,גבוה,2026-08-10,שלומי ביטון,055-0075400,,,
b569633f-4a4d-4e9d-b785-c4d6c71fb052,בשור,פח אשפה חסר,דשא,בטיפול,בינוני,2026-08-26,יוסי בן דוד,055-5025517,,,הדשא מול הבנות
3d7b82c6-d7ef-4329-8326-58e62a60cdde,תמר,מנעול תקול,פינת עישון,בטיפול,בינוני,2026-05-08,רחל כהן,055-1111465,,,יטופל בסבב הבא
d48dbefa-ac52-4ac5-8deb-4ed828cd08dd,רמון,צנרת חשופה,דשא,בטיפול,בינוני,2026-05-23,נועה כהן,053-9170317,,,הדשא בכניסה למתחם
7388bfa5-de67-411a-9439-6b117d87785f,תמר,וילון/תריס שבור,פינת פריסה,טרם הועלה,גבוה,2026-09-10,נועה אזולאי,053-7735643,,,
be692e2b-2328-432b-b85d-125eec1f3602,צין,מזרן קרוע,פינת ישיבה,טרם הועלה,נמוך,2026-06-06,,,,,דווח כבר פעם קודמת
89a9fd60-ebf5-4ce8-8d03-30982162d010,פארן,משקוף עקום,פינת עישון,בטיפול,נמוך,2026-09-02,עומר פרץ,054-7436687,,,יטופל בסבב הבא
768e71c8-c2fc-44bd-9f3d-c05b85dcb9a1,צין,נורה שרופה,דשא,טרם הועלה,גבוה,2026-06-22,משה גבאי,055-5490267,,,הדשא באזור הרחבה
bbdc0366-d265-46c0-959d-67b6fee80b7e,בשור,ברזייה לא עובדת,פינת ישיבה,בטיפול,נמוך,2026-08-07,,,,,חומרים בדרך
c8a759da-34ab-498a-9f51-93b05e1d915f,פארן,כבל חשמל מונח על הרצפה,ספריית קמנים,טופל,נמוך,2026-04-02,איתי מלכה,053-2078023,,,דווח כבר פעם קודמת
7868c8b8-9948-41c2-b577-aed94c759e39,צין,ברזייה לא עובדת,"פינת גלח""צ",טופל,בינוני,2026-03-18,עומר שרעבי,058-3166277,,,
eeba8daa-f30a-4398-bdba-13698d9c0771,פארן,אין תאורת חירום,שביל,בטיפול,נמוך,2026-04-25,שלומי בן דוד,053-3113361,,,השביל בין הפינות
14100bcd-8104-40f5-b272-a6d76dc4d72f,רמון,עמוד תאורה כבוי,פינת פריסה,טרם הועלה,גבוה,2026-09-08,מאיה חדד,053-7031602,,,
d20868ec-b03d-4958-b12e-639df382132b,צין,מקלחת בלי לחץ מים,דשא,טופל,נמוך,2026-08-05,יונתן מלכה,055-1378848,,,הדשא באזור הרחבה
cf706e6e-061a-4bc5-8ee7-05d8808b7fa7,רמון,אין מים חמים,פינת פריסה,טרם הועלה,נמוך,2026-03-25,איתי וקנין,052-8849736,,,חומרים בדרך
257e5ecf-a44a-4c71-88f3-39c7bec1ab84,בשור,צבע מתקלף,מגורי בנות,טרם הועלה,בינוני,2026-04-11,,,אגף א,116,
a490d4cb-28f8-423a-b4be-df2c441b434c,צין,צבע מתקלף,מגורי בנים,בטיפול,נמוך,2026-04-28,בן גבאי,052-7725678,מבנה 2,109,
60a7a7c2-b86e-43a2-a58c-9a982ff7fd35,תמר,ברזייה לא עובדת,מגורי בנות,טרם הועלה,גבוה,2026-07-25,אריאל אברהם,055-7179189,מבנה 2,401,צריך להזמין קבלן חיצוני
37711dac-2e6f-4000-af7c-23f161429497,צין,תאורת חוץ כבויה,פינת עישון,בטיפול,בינוני,2026-04-30,מאיה דהן,055-3899235,,,יטופל בסבב הבא
8eeff414-32dd-43ef-a888-dd1319767ad7,צין,מזגן לא עובד,"דקצ""ו (דק קמנים)",טרם הועלה,נמוך,2026-07-25,רון אברהם,052-1461668,,,צריך להזמין קבלן חיצוני
b1a8fa94-71d9-4368-b015-10d77e87c1a4,בשור,דלת שבורה,ספריית קמנים,בטיפול,גבוה,2026-03-21,אריאל טוויל,050-8583171,,,חומרים בדרך
27aadaa3-e4d2-42e1-ad4d-54315d62185d,בשור,מזגן מרעיש,מתחם קמנים,טופל,בינוני,2026-05-04,,,,,
e12a9a0b-0890-4179-8fb8-0deab3f78b1f,בשור,ריצוף סדוק,פינת עישון,טופל,נמוך,2026-08-03,,,,,מחכים לאישור תקציב
b663a180-1264-4ed6-8316-257b6611e61f,צין,ברז דולף,מגורי בנים,טרם הועלה,בינוני,2026-08-19,טל דהן,055-5003267,מבנה 3,220,חומרים בדרך
fb682da4-aa28-40b9-ae4f-e4fff3bd8bc9,צין,עמוד תאורה כבוי,"פינת קק""ס",טרם הועלה,גבוה,2026-09-09,בן דהן,055-9544126,,,חומרים בדרך
3c012d05-ab21-49e3-b893-b38e9b6db52d,צין,כיור סתום,רחבת רמון,בטיפול,נמוך,2026-06-10,עומר מזרחי,053-4710590,,,דחוף לטפל השבוע
acfc2b60-ed4a-438a-a826-ef5779105cfd,בשור,מנעול תקול,"דקצ""ו (דק קמנים)",בטיפול,בינוני,2026-07-19,בן מלכה,058-3169019,,,
5d68314b-00ec-440d-90c9-7dbbffceb542,תמר,תאורה לא עובדת,פינת פריסה,טרם הועלה,גבוה,2026-05-22,,,,,
e1cb264d-de97-4ee2-8a6e-aeb3492cba21,תמר,מיטה שבורה,פינת פריסה,טרם הועלה,בינוני,2026-07-10,טל פרץ,058-7189062,,,
1d2c93f6-eb10-4c5a-9708-78c66d906ec5,תמר,מזגן מטפטף,פינת עישון,בטיפול,בינוני,2026-05-09,שירה חדד,053-8694584,,,דחוף לטפל השבוע
f4ada569-e160-4c70-9b73-56634bd9d758,צין,שילוט לא ברור,"פינת גלח""צ",בטיפול,בינוני,2026-07-02,,,,,
c80dda9d-d71c-44cd-84b9-65e1ea57c686,פארן,מנעול תקול,ספריית קמנים,טרם הועלה,בינוני,2026-08-03,,,,,צריך להזמין קבלן חיצוני
89652046-8a80-474e-9d4c-41a4ee235e1c,בשור,מקלחת בלי לחץ מים,מגורי בנות,טופל,נמוך,2026-04-17,,,מבנה 4,308,
50427ca4-5c1e-4279-a34d-7260144dfcd1,בשור,דלת לא נסגרת טוב,"פינת קק""ס",טרם הועלה,נמוך,2026-05-16,,,,,יטופל בסבב הבא
