gap_id,message,created_at,created_by
077876e1-0d5d-4934-87f0-aff1ffd50c33,מחכים לחלק חילוף מהספק,2026-09-12 22:06:00,דניאל.כהן@kalag.test
612f4971-3f18-434c-aff0-6f34ecdf8a62,פנייה נשלחה לחברת התחזוקה,2026-08-19 13:07:00,טל.רוזן@kalag.test
890c413a-f3ca-4a84-b559-5a152bad85f1,"נבדק במקום, נדרש ציוד נוסף",2026-05-20 01:26:00,דניאל.כהן@kalag.test
344179c9-c898-4c4b-9fca-0c2ba3589fab,תואם מועד טיפול עם הקבלן,2026-04-18 11:22:00,טל.רוזן@kalag.test
344179c9-c898-4c4b-9fca-0c2ba3589fab,"טופל, ממתינים לאישור סופי מהמדריך",2026-04-28 01:40:00,עידו.פרץ@kalag.test
344179c9-c898-4c4b-9fca-0c2ba3589fab,"טופל חלקית, נדרש עוד ביקור",2026-07-09 11:40:00,טל.רוזן@kalag.test
ab874008-3b88-4334-92c5-f2327a76a802,מחכים לחלק חילוף מהספק,2026-08-28 18:57:00,נועה.אבידן@kalag.test
7b0e9885-cf91-40a7-8221-572751f68c66,בוצע תיקון זמני עד להגעת הטכנאי,2026-08-02 11:20:00,יובל.שגיא@kalag.test
7b0e9885-cf91-40a7-8221-572751f68c66,אושר תקציב לתיקון,2026-09-03 23:11:00,דניאל.כהן@kalag.test
a7aaa5b2-fc03-4353-9951-7291a2c225aa,פנייה נשלחה לחברת התחזוקה,2026-07-19 01:11:00,יובל.שגיא@kalag.test
af8ad8aa-8069-464b-9473-f133b02e9e8a,מחכים לחלק חילוף מהספק,2026-06-23 18:34:00,טל.רוזן@kalag.test
af8ad8aa-8069-464b-9473-f133b02e9e8a,"טופל, ממתינים לאישור סופי מהמדריך",2026-08-11 00:20:00,דניאל.כהן@kalag.test
af8ad8aa-8069-464b-9473-f133b02e9e8a,"טכנאי הגיע, מזהה את הבעיה",2026-09-09 20:11:00,טל.רוזן@kalag.test
15ea0f87-4a06-4752-9877-5c2b7884b7bf,פנייה נשלחה לחברת התחזוקה,2026-07-10 00:03:00,נועה.אבידן@kalag.test
15ea0f87-4a06-4752-9877-5c2b7884b7bf,מחכים לחלק חילוף מהספק,2026-08-01 22:13:00,עידו.פרץ@kalag.test
15ea0f87-4a06-4752-9877-5c2b7884b7bf,בוצע תיקון זמני עד להגעת הטכנאי,2026-08-09 17:15:00,דניאל.כהן@kalag.test
bcaf45e5-3f5e-4a34-84cc-0b6b7d232a93,בוצע תיקון זמני עד להגעת הטכנאי,2026-06-11 17:06:00,דניאל.כהן@kalag.test
6413c1d9-997e-4c3e-9b54-7c1c7e67632a,מחכים לאישור מנהל הקורס,2026-08-24 00:53:00,דניאל.כהן@kalag.test
f894b4dd-7f70-4ab1-bfe3-61240885c2b0,"נבדק במקום, נדרש ציוד נוסף",2026-06-29 03:35:00,יובל.שגיא@kalag.test
28cef2d9-5488-41b3-8db7-0871a2e58c41,בוצע תיקון זמני עד להגעת הטכנאי,2026-08-06 19:51:00,מאיה.לוי@kalag.test
ffa9ed50-d638-4c64-be35-02662b975687,"טופל, ממתינים לאישור סופי מהמדריך",2026-07-21 15:58:00,מאיה.לוי@kalag.test
